,word,syll,foot,segment,quantity,stressed,ictus,duration,f1,f2,song,performer
497,tule,le,1,ɛ,1,0,ictus,0.2426931045700655,731.877480231431,1414.1602060784437,9,MH
498,talu,ta,0,a,1,1,off,0.333481269016687,991.6653087791232,1715.0661159542494,9,MH
499,talu,lu,1,ʊ,1,0,off,0.2431482139447993,390.1828192741952,1217.8230419842344,9,MH
500,"tuastagi,",tuas,0,u,3,1,ictus,0.3177146663072463,705.6008132015769,1117.2602133292007,9,MH
501,"tuastagi,",ta,1,a,1,1,ictus,0.2759292948501226,690.417011375994,1088.552883796325,9,MH
502,orjal,or,0,o,2,1,off,0.3150068050450656,934.021344682748,1209.053890119335,9,MH
504,oodakuta!,ood,0,oː,3,1,off,0.3617517965885071,747.8219195351899,1430.450514005141,9,MH
505,oodakuta!,a,1,a,2,1,off,0.235329773398881,661.1902654150983,1750.5427400003125,9,MH
506,mis,mis,0,i,3,1,ictus,0.1625982234707996,516.3135519329262,1134.9039035142496,92,LK
507,see,see,0,eeː,3,1,off,0.2002483612435299,335.9035826684925,2327.364302481218,92,LK
509,kul´li,li,1,i,1,0,ictus,0.2098455948817839,841.6836540015181,1835.0923111046848,92,LK
510,talu,ta,0,a,1,1,ictus,0.3648689539549643,496.5435111957484,1596.375205812324,92,LK
511,talu,lu,1,ʊ,1,0,ictus,0.2326004178176717,302.74326135403726,1695.979745385168,92,LK
512,"anisida,",a,0,a,1,1,off,0.3704565308313441,1104.569045825274,2220.3407333840614,92,LK
513,"anisida,",ni,1,ɪ,1,0,off,0.2359334271602975,902.6644021604296,1834.505644078326,92,LK
514,mõisa,mõi,0,ɵi,2,1,off,0.3025825605985268,678.7908473239381,1315.8749474214478,92,LK
515,mõisa,sa,1,a,1,0,off,0.2000111814868894,680.1761481519691,1617.6166609266106,92,LK
516,paari,paa,0,aː,2,1,ictus,0.3056045845102186,645.1467754478587,1689.17150601851,92,LK
517,paari,ri,1,i,1,0,ictus,0.146967921930555,650.7354936923645,1842.6890710308924,92,LK
518,"partisida,",par,0,a,2,1,off,0.1302292263537854,566.2236153956399,1823.810280586544,92,LK
519,"partisida,",ti,1,i,1,0,off,0.1922142554285866,486.187533230404,1723.3899758654404,92,LK
520,kõrtsi,kõrt,0,ɵ,2,1,off,0.139796754567774,874.6237431638124,1401.2672483602598,92,LK
