,Unnamed: 0,word,syll,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2,euc,fileid,performer
34,34,kehval,keh,0,e,2,1,ictus,0.1281654014706177,10.05450932795794,594.4022840897417,1355.2636165980948,760.8613325083531,94,LK
35,35,kehval,val,1,a,2,0,off,0.148898039943802,10.25335417876897,927.4848580462856,1516.360277272785,588.8754192264994,94,LK
36,36,"ajal,",a,0,a,1,0,ictus,0.23224737297841,10.433588784543035,868.7885256215859,1990.8582769047723,1122.0697512831864,94,LK
37,37,"ajal,","jal,",1,ɑl,3,1,ictus,0.1602067518382703,10.51913712683848,512.0006820709312,1134.4245317938876,622.4238497229563,94,LK
38,38,nüüd,nüüd,0,yyː,3,1,off,0.1946601074292999,12.000792193597102,431.2868059688468,1830.176247039032,1398.889441070185,94,LK
39,39,sina,si,0,i,1,1,off,0.0346100269971856,11.996237557758802,419.6997673523096,1659.8282676628985,1240.128500310589,94,LK
40,40,sina,na,1,ɑ,1,0,ictus,0.1006405457549064,12.094405958728196,530.7627210822858,824.3292222718262,293.5665011895404,94,LK
41,41,riisud,rii,0,iː,2,1,off,0.2268571930783238,12.302072020575444,687.1932297353675,1818.028354641452,1130.8351249060847,94,LK
42,42,riisud,sud,1,u,2,0,off,0.1025940085988033,12.332317885190506,769.8438974882375,1607.053303008793,837.2094055205552,94,LK
43,43,"riide'eida,",rii,0,iː,2,1,ictus,0.2212569583034422,12.574837291451448,764.7823451747661,1164.9711785041816,400.1888333294155,94,LK
44,44,kakud,ka,0,a,2,1,off,0.1244413882843851,12.972077405218172,655.0939385692725,1418.9392372245177,763.845298655245,94,LK
45,45,kakud,kud,1,u,2,0,off,0.0807187383466256,13.072975828151456,646.397597852537,1448.2143007792888,801.8167029267518,94,LK
46,46,"kaelakardasida,",kae,0,ae,2,1,off,0.2589726188620957,13.368213652471306,451.8415919022319,1145.6151867380413,693.7735948358095,94,LK
47,47,"kaelakardasida,",la,1,a,2,0,off,0.1530292747821455,13.416981223555725,459.4629239998049,1289.6642567171834,830.2013327173786,94,LK
48,48,Võtke,võt,0,ɵ,2,1,ictus,0.0846832514777524,15.343480006267772,830.3189670497039,1580.5285447804492,750.2095777307453,94,LK
49,49,Võtke,ke,1,e,1,0,off,0.1228800558700804,15.530824904383088,721.0313778369632,1031.740984418306,310.7096065813428,94,LK
50,50,kinni,kin,0,i,2,1,off,0.1633746197363592,15.680954977358615,523.2328108365431,1120.2594264679856,597.0266156314425,94,LK
51,51,kinni,ni,1,i,1,0,off,0.1164701260039926,15.77340096500626,567.8424889043097,1206.108436009302,638.2659471049924,94,LK
52,52,"kuningas,",ku,0,u,1,1,ictus,0.1830979229996217,15.943784595215416,805.7393602454771,1495.7881597633884,690.0487995179113,94,LK
53,53,"kuningas,",nin,1,ɪ,2,0,ictus,0.1511944934308786,16.019804738146448,753.0779504806942,1402.6853100347807,649.6073595540865,94,LK
54,54,võtke,võt,0,ɵ,2,1,off,0.0836631674471419,16.539906321718018,1098.3292687845806,1954.9260991127285,856.5968303281479,94,LK
55,55,võtke,ke,1,e,1,0,ictus,0.127409867798093,16.737810154679906,472.14898554921257,1357.6499866295464,885.5010010803339,94,LK
56,56,kinni,kin,0,i,2,1,ictus,0.1564811094844742,16.866037742970306,304.30568697844654,1060.2164416545336,755.910754676087,94,LK
57,57,kinni,ni,1,i,1,0,off,0.14098793032759,16.987659199351796,974.5150289795546,2251.80563287773,1277.2906038981755,94,LK
58,58,kuningas!,ku,0,u,1,1,off,0.1859181498825322,17.145485127131554,782.8992305782195,1503.9725420997634,721.0733115215438,94,LK
59,59,kuningas!,nin,1,ɪ,2,0,off,0.154931791568778,17.225274999789477,596.9871903377656,1594.7929803164882,997.8057899787226,94,LK
60,0,sissi,sis,0,i,2,1,off,0.182,0.5840233843537415,656.742101574928,2101.72106038569,1444.9789588107622,18,MH
