,word,syll,shape,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2
24,tullu,tul,CVC,0,u,2,1,ictus,0.16768704893200237,21.843592003286894,670.2866889821369,1082.3772965285261
25,tullu,lu,CV,1,u,1,0,x,0.11694070930016665,22.20488544042006,664.911439473875,1031.4663482597575
26,ümmert,üm,VC,0,y,2,1,ictus,0.19894515299306192,26.42337785714869,604.3677594647343,1448.8230907588108
27,ümmert,mert,CVCCC,1,e,2,0,x,0.15739948298694273,26.747850783160146,893.8256931885169,2162.634575294164
28,"ilma,",il,VC,0,i,2,1,ictus,0.21225260023068415,27.071120254208402,565.7221973049208,1354.7405252155174
29,"ilma,",ma,CV,1,a,2,0,x,0.22596431899028246,27.492220646627317,1135.3787699666536,1563.5602006919748
30,ümmert,üm,VC,0,y,2,1,ictus,0.20894666237829185,27.709676137311604,556.2634661630494,1837.4759080857787
31,ümmert,mert,CVCCC,1,e,2,0,x,0.11442175103595176,28.02656433446616,967.8070096743978,1954.5933239916253
32,"otsa,",ot,VCC,0,o,2,1,ictus,0.16461389389346692,28.309155627425262,883.3905329443478,1377.1474535254295
33,"otsa,",sa,CV,1,a,2,0,x,0.20499376585315332,28.724020762273227,1065.1657595575048,1394.3358480071793
34,läbi,lä,CV,0,æ,1,1,ictus,0.16153847326662074,31.507241180033354,961.9011034689976,1544.0225781838703
35,läbi,bi,CV,1,ɪ,1,0,x,0.2073178293412461,31.82362219360602,335.8060733126289,2239.237390570947
36,"sipa-sopa,",si,CV,0,i,2,1,ictus,0.16331560854901284,32.75279322094117,416.96656176844164,1998.8669463580745
37,"sipa-sopa,",si,CV,0,o,2,1,ictus,0.17609044691553777,33.417243140124434,670.2367946846407,1195.339783441765
38,"sipa-sopa,",pa,CV,1,a,1,0,x,0.1947704733294131,33.12575018000196,997.3050170553657,1415.676514572747
39,"sipa-sopa,",pa,CV,1,a,1,0,x,0.1764711583356302,33.82846474583448,900.018831065258,1370.0349163217397
40,läbi,lä,CV,0,æ,1,1,ictus,0.19915483482756002,36.684905542326675,934.9298548546851,1536.3304827838488
41,läbi,bi,CV,1,ɪ,1,0,x,0.23707815156070922,37.02880403646453,346.4609274081377,2144.237310381961
42,laane,laa,CVV,0,aː,2,1,ictus,0.267246562330115,37.366244808942824,959.4957460006467,1482.2110374070396
43,laane,ne,CV,1,e,1,0,x,0.19915483482756002,37.6728183414055,799.1692808729954,2108.412920863201
44,lipa-lapa.,li,CV,0,i,2,1,ictus,0.1257820009437296,37.89283004954578,554.6944411304747,1781.6102162740954
45,lipa-lapa.,li,CV,0,a,2,1,ictus,0.14181147150122797,38.526827610750615,923.7585888858796,1541.156599799624
46,lipa-lapa.,pa,CV,1,a,1,0,x,0.19391391812157366,38.28327834414192,1049.3338895540867,1497.6004955292706
47,lipa-lapa.,pa,CV,1,a,1,0,x,0.20311118953539165,38.90112326043107,1093.009641840065,1398.487916234078
48,uppus,up,VCC,0,u,3,1,ictus,0.11639453984691528,42.15043101062196,835.7183091634503,1106.4783503397255
49,uppus,pus,CVC,1,u,2,0,x,0.1392608069850496,42.50545583532772,563.8678616890402,942.0964693348418
50,ojasse,o,V,0,o,1,1,ictus,0.19530609228550588,42.80645444524345,785.492260060502,1113.264284899235
51,ojasse,jas,CVC,1,ɑ,2,0,x,0.12705345700705806,43.0852065754423,970.0743632911934,1517.223131884975
52,vahele,va,CV,0,a,1,1,ictus,0.23983707796389808,47.79880150243144,1053.1560725480117,1503.1089997181357
53,vahele,he,CV,1,ɛ,1,0,x,0.2362798951458771,48.1243299821261,729.7124270936557,2140.1632264411855
54,lumi,lu,CV,0,u,1,1,ictus,0.20489905756303983,51.61859322465167,652.1676545051727,1090.1276220128927
55,lumi,mi,CV,1,ɪ,1,0,x,0.20999873046113748,51.932510490514,341.9230901884225,2491.1599813791036
56,rikkus,rik,CVCC,0,i,3,1,ictus,0.1602189348886327,52.17766543934271,635.2058853935846,1916.6159770575828
57,rikkus,kus,CVC,1,u,2,0,x,0.09016906593733154,52.49425072309908,426.1743021422336,947.2272579268234
