,word,syll,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2
160,elle,le,1,e,1,0,ictus,0.17891214855180237,73.52752134678866,777.458024358206,1427.2644359634482
161,"perenaine,",pe,0,e,1,1,ictus,0.23586810607076814,73.71734415284115,513.9662545410545,1274.7483673601987
162,"perenaine,",re,1,ɛ,1,0,ictus,0.18959119647601597,73.8328881473179,524.646258036152,1028.5351652038476
163,annab,an,0,a,2,1,off,0.17405064673710058,75.48004276631303,830.6825497034781,1655.3572691498364
164,annab,nab,1,a,2,0,off,0.08777370207221225,75.56417616198533,882.3348796569378,1516.2491121931766
165,kadril,kad,0,a,2,1,off,0.222945203263464,75.82486405713988,639.4043370942214,1423.7418558867641
166,kadril,ril,1,i,2,0,off,0.09568025733179297,75.8883333399796,337.35136443972954,1302.8974107080533
167,karaskit.,ka,0,a,1,1,off,0.2275646661194628,76.14894221868272,390.04827763924663,2006.8326870752874
168,karaskit.,ras,1,ɑ,2,0,off,0.15387752725524706,76.20742122594154,398.77213550972056,1485.833583902532
169,ma,ma,0,a,3,1,ictus,0.103304353157057,78.26619217912076,335.6421091170168,1241.6848217776492
170,juhate,ju,0,u,1,1,x,0.16075653436809034,78.45108464531076,641.4373210831387,1056.0900603450639
171,juhate,ha,1,ɑ,2,0,ictus,0.1299196726205878,78.5574968074328,572.1860342730838,1039.281995411708
172,kambren,kamb,0,a,2,1,off,0.16840892854355616,80.5021213279658,429.6006172511987,2225.4460684686383
173,kambren,ren,1,e,2,0,off,0.09996969671666989,80.61692196089638,733.5890970893245,1646.1889857237227
174,kapi,ka,0,a,2,1,off,0.1361063236977884,80.78261397130431,1021.9576577581304,1519.090261628864
175,kapi,pi,1,i,1,0,off,0.21583302487889,81.02896475770135,396.52675047713217,1096.694108453268
176,taha,ta,0,a,1,1,x,0.22003678118093717,82.94371289609008,718.4511410466382,1753.204220121574
177,taha,ha,1,ɑ,1,0,ictus,0.13209508030081452,83.0212641115243,856.3839994609393,1560.6971046979734
178,kanaliha,ka,0,a,1,1,ictus,0.2668150742482567,83.27653367091096,908.6083232503522,1326.8536667547482
179,kanaliha,na,1,ɑ,1,0,x,0.20989718631145138,83.40357416004916,780.6349426871101,1497.4881907851354
180,kana,ka,0,a,1,1,refrain,0.2387595302915031,85.41675637293334,447.9429722300537,2174.7770958658634
181,kana,na,1,ɑ,1,0,refrain,0.16700369719097807,85.50916126134726,629.0686839456304,2195.776901717459
182,kannustenu.,kan,0,a,2,1,refrain,0.16830589840222387,85.65062328989922,934.5550321669391,1461.2107364559813
183,kannustenu.,nus,1,u,2,0,refrain,0.09944653183623586,85.74959727385462,1069.4393057748923,1447.3146382229997
184,"Saagu,",saa,0,a,2,1,ictus,0.22442227149667815,87.60466350463233,409.9327523839783,1095.8660668048883
185,"Saagu,","gu,",1,u,2,0,ictus,0.1502851263363425,87.70372487119985,515.9778677259401,1074.0082252480847
186,"saagu,",saa,0,a,2,1,x,0.19434921899068058,87.87010429699534,423.58126839973374,1798.07210312253
187,sajatan,sa,0,a,1,1,ictus,0.197661578356076,88.16795197856462,453.8209852191446,1230.1188925527654
188,sajatan,ja,1,ɑ,2,0,ictus,0.09680424658472475,88.22716511810458,462.64792145651046,982.0072646633708
189,"Saagu,",saa,0,aa,2,1,refrain,0.28141836734693015,90.00893484268707,876.1747849293351,1808.4999004157164
190,"Saagu,","gu,",1,u,2,0,refrain,0.1419082643145373,90.03885501176352,654.9136741464135,1172.6862920345607
191,"saagu,",saa,0,aa,2,1,refrain,0.24608673469387554,90.24907281037416,683.604161247061,2318.690640569671
192,sajatan,sa,0,a,1,1,refrain,0.18056766214442632,90.52213941652454,434.7185345222527,1838.4672473237267
193,sajatan,ja,1,ɑ,2,0,refrain,0.11659035502006532,90.61304303871685,457.99233907775107,2095.0567651933593
194,tütar,tü,0,y,2,1,x,0.15860892687413752,92.51522451133441,706.2829344459292,1243.953593685202
195,tütar,tar,1,a,2,0,ictus,0.11423209854442007,92.65328016761968,932.783095363941,1896.452092818577
196,"seenetagu,",see,0,e,2,1,x,0.27620749966300195,92.95244392014666,919.0736456183226,1798.4138985008997
197,"seenetagu,",ne,1,e,2,0,x,0.11595091732780816,92.95977013442122,642.1874933566396,1971.6709519618278
198,aia,ai,0,ai,2,1,off,0.29416563266329376,94.82317277408826,1101.2245006191365,1460.4161340577173
199,aia,a,1,a,1,0,off,0.14599431861819312,94.88224021050564,1004.1349523150824,1506.2371694637975
